Leistung [W]
300.64799999999997
285.036
270.144
253.45200000000003
239.232
224.892
213.20400000000004
205.96799999999996
201.60000000000002
197.748
195.24
192.75600000000003
191.48399999999998
189.972
188.92800000000003
188.38800000000003
190.92000000000002
191.96400000000003
194.13600000000002
196.392
196.56
195.43199999999996
195.084
199.548
206.784
263.35200000000003
270.37199999999996
276.036
286.008
295.692
306.264
330.804
336.552
352.03200000000004
369.456
384.51599999999996
400.392
421.08000000000004
440.09999999999997
458.196
478.068
500.856
542.04
561.8879999999999
576.828
593.508
600.9000000000001
593.604
580.1759999999999
572.484
536.9639999999999
523.1759999999999
501.24
504.144
500.13599999999997
488.55600000000004
486.144
478.62
474.74399999999997
471.684
470.15999999999997
472.11600000000004
474.684
480.816
496.84800000000007
514.5600000000001
538.6320000000001
560.7239999999999
584.4000000000001
598.9680000000001
607.98
608.9760000000001
604.644
599.04
588.144
574.704
556.7760000000001
542.34
531.552
522.36
515.9760000000001
506.88
500.25600000000003
491.052
478.404
465.876
453.504
446.06399999999996
439.0799999999999
430.66799999999995
403.95599999999996
374.592
355.08000000000004
335.42400000000004
311.628
286.92
240.52800000000002
222.74399999999997
206.53200000000004
193.98
180.648
166.12800000000001
153.78
147.588
145.548
143.868
141.78000000000003
141.996
143.412
144.192
146.82
150.18
158.592
165.876
175.392
184.17600000000002
194.29199999999997
201.036
213.132
233.25599999999997
265.848
364.884
399.4200000000001
424.48800000000006
448.212
458.376
468.58799999999997
467.928
454.20000000000005
444.51599999999996
434.08799999999997
426.54
421.164
421.56000000000006
427.428
436.68
447.12
455.112
469.716
470.3520000000001
479.03999999999996
486.648
492.468
495.76800000000003
491.50800000000004
490.392
493.43999999999994
490.87199999999996
468.108
472.55999999999995
471.19200000000006
474.31199999999995
476.65199999999993
478.9440000000001
478.74
477.74399999999997
477.168
474.396
474.396
481.068
501.84000000000003
525.396
554.304
584.664
606.4319999999999
630.492
645.3720000000001
652.164
648.3119999999999
636.7560000000001
627.24
618.7439999999999
605.7719999999999
591.588
579.804
572.988
562.404
555.7199999999999
543.912
532.164
514.6320000000001
498.97200000000004
480.552
472.81199999999995
467.004
458.43600000000004
427.092
388.32
360.216
334.596
309.096
283.104
238.704
221.00399999999996
204.39600000000002
192.39599999999996
178.848
164.604
152.436
146.436
145.07999999999998
143.868
142.8
143.484
145.05599999999998
145.872
148.476
152.004
161.016
168.012
177.108
185.904
197.13600000000002
203.56799999999998
215.652
236.76
270.456
359.952
405.4200000000001
432.996
457.84800000000007
468.05999999999995
481.524
476.568
462.86400000000003
449.1479999999999
438.5759999999999
430.72800000000007
426.804
429.108
434.48400000000004
442.284
452.424
458.88
472.77600000000007
474.504
486.75600000000003
496.548
501.744
504.29999999999995
498.408
496.45199999999994
497.496
494.052
472.104
476.82
472.86
474.53999999999996
476.41200000000003
479.112
479.748
478.404
477.504
475.212
475.44000000000005
480.804
501.12
527.712
556.932
586.656
610.6800000000001
634.584
648.804
656.448
652.356
642.108
631.836
623.376
609.5640000000001
595.896
584.8320000000001
578.124
566.7959999999999
560.304
547.9680000000001
536.844
520.152
504.27599999999995
486.72
474.19200000000006
470.13599999999997
463.03200000000004
431.61600000000004
392.892
363.71999999999997
337.092
310.524
283.68
277.74
